emp_no,first_name,last_name,birth_date,from_date,to_date,title
11240,Kiam,Condotta,1955-08-12,1989-01-06,9999-01-01,Engineer
11243,Udi,Desikan,1955-06-14,2000-01-20,9999-01-01,Assistant Engineer
11251,Bezalel,Chinal,1955-10-16,1986-06-15,9999-01-01,Senior Staff
11266,Florina,Rohrbach,1955-08-09,1997-05-12,9999-01-01,Engineer
11267,Shaunak,Zaumen,1955-10-18,1997-07-29,9999-01-01,Senior Engineer
11275,Hitomi,Eppinger,1955-10-18,1989-04-25,9999-01-01,Senior Engineer
11319,Pranas,Marrakchi,1955-06-05,1998-11-01,9999-01-01,Assistant Engineer
11396,Anneke,Servieres,1955-02-06,1997-02-04,9999-01-01,Engineer
11406,Eberhardt,Gini,1955-04-11,1989-03-13,9999-01-01,Staff
11420,Tsutomu,Lalonde,1955-04-30,1992-01-31,9999-01-01,Senior Staff
11425,Renee,Crelier,1955-11-20,1990-08-27,9999-01-01,Senior Engineer
11449,Kotesh,Asser,1955-03-30,1995-02-03,9999-01-01,Engineer
11451,Eben,Rajaraman,1955-05-05,1990-05-20,9999-01-01,Senior Engineer
11460,Mana,Maraist,1955-11-19,1992-05-28,9999-01-01,Engineer
11506,Rance,Picel,1955-06-16,1996-04-08,9999-01-01,Staff
11515,Ulf,Basawa,1955-03-03,1998-09-21,9999-01-01,Staff
11524,Xiadong,Standera,1955-10-26,1996-07-05,9999-01-01,Senior Engineer
11528,Zito,Dolinsky,1955-04-26,1987-06-15,9999-01-01,Technique Leader
11537,DAIDA,Pehl,1955-06-29,1986-07-06,9999-01-01,Senior Staff
11554,Subhash,Taubenfeld,1955-05-28,1999-02-21,9999-01-01,Staff
11555,Kotesh,Perfilyeva,1955-08-05,1986-10-14,9999-01-01,Senior Staff
11568,Martins,Fujisaki,1955-12-01,1992-03-13,9999-01-01,Senior Engineer
11575,Godehard,Plotkin,1955-02-22,1994-06-01,9999-01-01,Engineer
11589,Gina,Plessier,1955-01-10,1994-05-06,9999-01-01,Engineer
11615,Shem,Isaak,1955-03-05,1991-08-29,9999-01-01,Senior Staff
11624,Adil,Gammage,1955-05-16,1989-07-15,9999-01-01,Senior Engineer
11641,Chikako,Rothenberg,1955-10-13,1991-06-18,9999-01-01,Senior Engineer
11660,Gill,Stenning,1955-07-19,1986-11-22,9999-01-01,Senior Staff
11664,Oksana,Brizzi,1955-08-27,1990-09-07,9999-01-01,Senior Staff
11667,Kristian,Marchegay,1955-05-15,1990-09-08,9999-01-01,Staff
11732,Sanjoy,Ranft,1955-06-14,2002-07-12,9999-01-01,Senior Engineer
11735,Amalendu,Picci,1955-02-19,1988-07-14,9999-01-01,Senior Staff
11756,Abdelwaheb,Vakili,1955-02-24,1999-11-26,9999-01-01,Engineer
11765,Zorica,Junet,1955-08-17,1991-07-04,9999-01-01,Senior Staff
11770,Arumugam,Jakobus,1955-08-26,1992-11-29,9999-01-01,Senior Engineer
11791,Gal,Mamelak,1955-11-07,1994-11-15,9999-01-01,Senior Engineer
11807,Chriss,Binding,1955-12-25,1994-09-16,9999-01-01,Technique Leader
11817,Niranjan,Markovitch,1955-05-25,1986-04-12,9999-01-01,Staff
11841,Elvia,Bugrara,1955-04-21,1996-10-24,9999-01-01,Staff
11857,Divier,Farrag,1955-12-03,1986-08-27,9999-01-01,Senior Staff
11869,Fumino,Luca,1955-09-14,1996-08-12,9999-01-01,Engineer
11906,Hideo,Boguraev,1955-04-26,1999-02-07,9999-01-01,Engineer
11917,Jiakeng,VanScheik,1955-03-26,1997-03-08,9999-01-01,Engineer
11926,Leni,Felcyn,1955-04-06,1998-09-18,9999-01-01,Engineer
11951,Bernt,Haumacher,1955-05-08,1989-10-14,9999-01-01,Assistant Engineer
11980,Yechezkel,Pews,1955-07-03,1998-02-18,9999-01-01,Staff
11993,Marit,Dalphin,1955-10-29,1996-10-22,9999-01-01,Senior Staff
12021,Chikara,Rahimi,1955-03-11,1991-09-30,9999-01-01,Senior Engineer
12040,Bluma,Kermarrec,1955-03-24,1998-09-28,9999-01-01,Senior Staff
12044,Rance,Hemaspaandra,1955-08-16,1990-04-19,9999-01-01,Senior Engineer
12053,Yechezkel,Pelc,1955-06-20,1989-11-12,9999-01-01,Senior Engineer
12060,Toshimi,Antonakopoulos,1955-03-25,1996-06-21,9999-01-01,Technique Leader
12063,Lein,Bale,1955-07-06,1994-07-24,9999-01-01,Senior Engineer
12070,Ger,Shokrollahi,1955-07-23,1988-11-14,9999-01-01,Technique Leader
12076,Karlis,Siprelle,1955-03-16,1985-03-25,9999-01-01,Senior Staff
12090,Shigenori,Angelopoulos,1955-03-27,1999-10-03,9999-01-01,Engineer
12091,Lansing,Cunliffe,1955-02-19,1989-03-21,9999-01-01,Senior Engineer
12092,Kauko,Unno,1955-07-20,1998-08-08,9999-01-01,Senior Staff
12094,Weiru,Pearson,1955-05-02,1989-04-27,9999-01-01,Senior Staff
12159,Shem,Perly,1955-08-15,1985-07-17,9999-01-01,Senior Engineer
12174,Slavian,Plavsic,1955-02-01,1996-01-09,9999-01-01,Senior Engineer
12205,Sushant,Rossi,1955-08-24,1987-11-11,9999-01-01,Senior Engineer
12221,Vincent,Melter,1955-07-14,1985-09-16,9999-01-01,Engineer
12256,Guadalupe,Reghbati,1955-02-15,1985-08-26,9999-01-01,Staff
12258,Kankanahalli,Eiter,1955-01-06,1990-06-22,9999-01-01,Senior Engineer
12272,Behnaam,Grandbois,1955-10-16,1987-12-08,9999-01-01,Senior Staff
12311,Susanne,Lubachevsky,1955-02-11,1985-10-22,9999-01-01,Senior Engineer
12341,Rasiah,Luga,1955-02-13,1985-05-25,9999-01-01,Engineer
12368,Gor,Dechter,1955-10-07,1992-06-14,9999-01-01,Senior Staff
12379,Kazuhisa,Serna,1955-04-04,1996-06-02,9999-01-01,Technique Leader
12395,Sanjit,Felder,1955-01-08,1995-06-05,9999-01-01,Senior Staff
12399,Mihalis,Luga,1955-11-15,1987-12-07,9999-01-01,Staff
12413,Hugh,Gadepally,1955-06-17,1994-03-04,9999-01-01,Engineer
12417,Dannz,Spelt,1955-11-18,1998-02-02,9999-01-01,Senior Engineer
12421,Toshimi,Gulik,1955-03-15,1991-10-30,9999-01-01,Engineer
12427,Zissis,Daescu,1955-09-15,1992-09-09,9999-01-01,Staff
12464,Shai,Milicic,1955-09-08,1998-06-01,9999-01-01,Staff
12489,Arnould,Munck,1955-01-23,1986-04-11,9999-01-01,Senior Engineer
12490,Jackson,Muchinsky,1955-08-08,1994-05-09,9999-01-01,Engineer
12499,Izaskun,Lamba,1955-09-22,1990-08-27,9999-01-01,Senior Staff
12506,Gay,Rodite,1955-07-13,1990-08-29,9999-01-01,Engineer
12537,Avishai,Gonthier,1955-11-23,1995-06-21,9999-01-01,Staff
12558,Danco,Niizuma,1955-02-09,1989-08-12,9999-01-01,Senior Engineer
12564,Remco,Nitsche,1955-10-03,1998-11-03,9999-01-01,Staff
12596,Breannda,Roisin,1955-10-10,1996-09-29,9999-01-01,Senior Staff
12601,Ghassan,Simkin,1955-08-16,1992-07-09,9999-01-01,Senior Engineer
12608,Nectarios,Mondadori,1955-10-27,1991-02-22,9999-01-01,Senior Staff
12636,Yuuichi,Debuse,1955-11-21,1989-10-22,9999-01-01,Senior Staff
12642,Suebskul,Gips,1955-09-27,1996-10-28,9999-01-01,Senior Staff
12645,Kyoichi,Decaestecker,1955-04-01,1999-05-21,9999-01-01,Staff
12656,Seshu,Morton,1955-08-12,1995-05-17,9999-01-01,Staff
12666,Stamatina,Prenel,1955-03-14,1998-04-19,9999-01-01,Engineer
12697,Uri,Brizzi,1955-06-25,1986-07-11,9999-01-01,Senior Staff
12709,Ronghao,Botman,1955-08-09,1995-02-26,9999-01-01,Senior Engineer
12715,Honglan,Showalter,1955-12-31,1996-07-05,9999-01-01,Staff
12722,Elliott,Cheshire,1955-09-23,1985-03-29,9999-01-01,Senior Staff
12747,Salvador,Atrawala,1955-10-23,2000-02-04,9999-01-01,Technique Leader
12754,Ronnie,Tetzlaff,1955-06-11,1993-09-17,9999-01-01,Senior Engineer
12755,Rildo,Rodite,1955-02-20,1987-03-18,9999-01-01,Senior Staff
12769,Abdelwaheb,Gluchowski,1955-05-11,1994-09-02,9999-01-01,Engineer
12770,Maik,Benzaken,1955-01-17,1990-11-16,9999-01-01,Senior Staff
12789,Sanjai,Felcyn,1955-03-20,1996-09-24,9999-01-01,Engineer
12807,Gretta,Babb,1955-10-05,1996-08-06,9999-01-01,Senior Engineer
12810,Kristof,Staelin,1955-06-15,1996-07-06,9999-01-01,Technique Leader
12815,Sushant,Junot,1955-03-25,1985-02-27,9999-01-01,Staff
12829,Harngdar,Harbusch,1955-08-25,1996-05-07,9999-01-01,Senior Engineer
12843,Yinlin,Heijenga,1955-12-17,1993-10-23,9999-01-01,Senior Engineer
12879,Baruch,Eugenio,1955-09-07,1990-06-11,9999-01-01,Engineer
12890,Neven,Casley,1955-10-05,1985-10-31,9999-01-01,Senior Staff
12905,Munehiro,Gecsei,1955-01-24,1987-07-19,9999-01-01,Engineer
12910,Uno,Casley,1955-01-27,1998-03-16,9999-01-01,Staff
12915,Arco,Ligten,1955-08-17,1994-04-01,9999-01-01,Staff
12936,Reinhold,Farrow,1955-11-13,1994-11-10,9999-01-01,Technique Leader
12944,Alselm,Benzmuller,1955-07-07,1995-06-25,9999-01-01,Staff
12949,Geoff,Asrin,1955-02-24,1987-02-12,9999-01-01,Engineer
12960,Tayeb,Navazio,1955-07-20,2001-08-25,9999-01-01,Engineer
12969,Mohan,Angot,1955-03-27,1992-02-05,9999-01-01,Senior Staff
13000,Adhemar,Chiodo,1955-01-31,1997-07-05,9999-01-01,Engineer
13008,Jayesh,Zaumen,1955-12-23,2000-01-07,9999-01-01,Engineer
13011,Aamer,Glowinski,1955-02-25,1995-05-18,9999-01-01,Technique Leader
13027,Paraskevi,Kohling,1955-03-13,1992-01-23,9999-01-01,Technique Leader
13030,Yahiko,Kroll,1955-02-12,1993-11-25,9999-01-01,Senior Staff
13034,Arunas,Rosen,1955-02-21,1994-06-01,9999-01-01,Senior Staff
13065,Zine,Schiper,1955-07-27,1992-01-27,9999-01-01,Senior Staff
13067,Wayne,Kornyak,1955-08-01,1994-11-24,9999-01-01,Senior Engineer
13075,Rosella,Morrin,1955-05-24,1990-09-02,9999-01-01,Staff
13108,Rance,Matteis,1955-10-16,1989-12-14,9999-01-01,Senior Staff
13124,Quingbo,Garnick,1955-11-06,1985-03-17,9999-01-01,Senior Staff
13133,Guther,Senzako,1955-06-21,1991-06-13,9999-01-01,Staff
13134,Lorien,Chepyzhov,1955-06-25,1987-10-23,9999-01-01,Senior Engineer
13140,Shuji,Vidal,1955-07-03,1999-05-30,9999-01-01,Staff
13147,Shichao,Ginesta,1955-12-28,1993-06-29,9999-01-01,Staff
13161,Manu,Picci,1955-05-04,1990-01-02,9999-01-01,Engineer
13170,Cheong,Bernardeschi,1955-10-25,1998-09-21,9999-01-01,Senior Staff
13175,Yucai,Swick,1955-10-23,1991-01-20,9999-01-01,Engineer
13179,Moty,Janocha,1955-09-09,1999-02-19,9999-01-01,Staff
13186,Kyoichi,Barbanera,1955-06-19,1986-04-29,9999-01-01,Senior Staff
13189,Yuuichi,Bazzichi,1955-11-29,1999-10-16,9999-01-01,Staff
13232,Mitchel,Fujisaki,1955-01-29,1986-06-02,9999-01-01,Technique Leader
13235,Taizo,Remmers,1955-03-09,2000-07-29,9999-01-01,Engineer
13240,King,Pileggi,1955-02-14,1994-03-10,9999-01-01,Senior Engineer
13252,Morris,Kavvadias,1955-04-11,1997-04-04,9999-01-01,Staff
13263,Subhash,Zockler,1955-03-18,2001-02-12,9999-01-01,Staff
13276,Yechiam,Seuren,1955-05-07,1986-03-09,9999-01-01,Senior Staff
13290,Stamatina,Karner,1955-06-01,1995-12-24,9999-01-01,Staff
13315,Sakthirel,Stroustrup,1955-09-08,1991-06-02,9999-01-01,Senior Engineer
13342,Georgy,Doering,1955-04-03,1999-03-12,9999-01-01,Engineer
13361,Wilmer,Baek,1955-10-01,1996-05-03,9999-01-01,Staff
13402,Augustine,Dulli,1955-05-15,2002-02-26,9999-01-01,Engineer
13415,Nathalie,Speer,1955-06-23,1991-04-25,9999-01-01,Technique Leader
13416,Fox,Billawala,1955-12-15,1996-04-11,9999-01-01,Engineer
13427,Sreekrishna,Narwekar,1955-03-13,1996-01-26,9999-01-01,Staff
13453,Sugwoo,Lalonde,1955-11-30,1995-01-09,9999-01-01,Senior Engineer
13456,Uzi,Erol,1955-06-26,1999-06-13,9999-01-01,Senior Engineer
13457,Shooichi,Parfitt,1955-06-27,1986-01-18,9999-01-01,Senior Engineer
13460,Yinghua,Gips,1955-05-13,1993-05-09,9999-01-01,Engineer
13524,Chaoyi,Porotnikoff,1955-11-06,1995-10-28,9999-01-01,Staff
13544,Beshir,Sullins,1955-11-10,1992-04-24,9999-01-01,Staff
13546,Aimee,Brookner,1955-02-22,1988-10-26,9999-01-01,Engineer
13552,Ingmar,Capobianchi,1955-03-23,1985-03-23,9999-01-01,Staff
13554,Divine,Birke,1955-11-02,1993-07-04,9999-01-01,Senior Staff
13586,Abdelwaheb,Klassen,1955-10-09,1995-03-20,9999-01-01,Senior Engineer
13598,Subhrajyoti,Barvinok,1955-07-22,1995-12-30,9999-01-01,Engineer
13600,Baocai,Babu,1955-02-25,1997-09-02,9999-01-01,Staff
13617,Prodip,Fioravanti,1955-08-12,1999-07-24,9999-01-01,Engineer
13653,Kristen,Iivonen,1955-01-01,1991-01-17,9999-01-01,Staff
13704,Vishu,Kumaresan,1955-05-26,1987-10-01,9999-01-01,Engineer
13769,Yakichi,Trogemann,1955-10-07,1988-10-18,9999-01-01,Senior Staff
13775,Arve,Maierhofer,1955-06-30,1987-10-21,9999-01-01,Staff
13797,Juyoung,Leonhardt,1955-10-03,1992-04-13,9999-01-01,Staff
13798,Khosrow,Tischendorf,1955-10-23,1991-02-17,9999-01-01,Engineer
13811,Kien,Azadmanesh,1955-06-19,1989-11-14,9999-01-01,Senior Engineer
13825,Arlette,Pell,1955-06-12,1986-08-02,9999-01-01,Technique Leader
13838,Giao,Stellhorn,1955-02-12,1989-03-01,9999-01-01,Senior Staff
13857,Mostafa,Ferriere,1955-02-15,1990-11-09,9999-01-01,Senior Engineer
13861,Parke,Serna,1955-10-23,1996-08-13,9999-01-01,Engineer
13924,Mary,DasSarma,1955-05-23,1991-11-05,9999-01-01,Senior Engineer
13948,Xiaocheng,Hanratty,1955-09-12,1996-11-08,9999-01-01,Staff
13962,Maris,Ghelli,1955-11-14,1994-10-26,9999-01-01,Senior Engineer
13992,Ulises,Kenevan,1955-09-27,1988-07-27,9999-01-01,Staff
14005,Vojin,Stellhorn,1955-04-08,1996-10-04,9999-01-01,Technique Leader
14031,Joydip,Bashian,1955-07-17,1995-01-19,9999-01-01,Engineer
14049,Becky,Pelz,1955-01-04,1993-11-18,9999-01-01,Senior Engineer
14067,Godehard,Trachtenberg,1955-04-03,1994-02-14,9999-01-01,Senior Engineer
14074,Toshimori,Wendorf,1955-11-10,1997-11-26,9999-01-01,Engineer
14111,Leszek,Cummings,1955-03-27,1992-09-25,9999-01-01,Senior Staff
14112,Younwoo,McDermid,1955-09-22,1999-11-26,9999-01-01,Staff
14128,Mountaz,Munck,1955-07-01,1993-03-26,9999-01-01,Engineer
14140,Kiam,Ramamoorthy,1955-12-23,1998-07-25,9999-01-01,Senior Staff
14146,Hauke,Sidou,1955-03-08,1997-09-18,9999-01-01,Engineer
14168,Jiann,Denis,1955-06-04,1997-06-01,9999-01-01,Technique Leader
14182,Abdulla,Encarnacion,1955-05-22,1990-06-06,9999-01-01,Senior Staff
14209,Masanao,Kusakabe,1955-10-24,1988-04-06,9999-01-01,Senior Staff
14214,True,Swen,1955-10-03,1998-12-19,9999-01-01,Assistant Engineer
14217,Nimmagadda,Calkin,1955-06-23,1997-07-28,9999-01-01,Staff
14242,Sudhanshu,Benaini,1955-03-14,1985-06-27,9999-01-01,Staff
14244,Mahmut,Mullainathan,1955-08-19,1990-10-06,9999-01-01,Engineer
14245,Boalin,Byoun,1955-02-09,1996-04-08,9999-01-01,Senior Engineer
14246,Subhada,Piazza,1955-10-09,1993-09-05,9999-01-01,Senior Engineer
14248,Mark,Alblas,1955-10-13,1999-04-26,9999-01-01,Engineer
14290,Miyeon,Olivero,1955-01-21,1992-03-29,9999-01-01,Senior Engineer
14302,Rosita,Comellas,1955-10-17,1997-12-17,9999-01-01,Engineer
14326,Iara,Speckmann,1955-09-07,1999-08-11,9999-01-01,Senior Engineer
14330,Felicidad,Brizzi,1955-02-26,1991-07-03,9999-01-01,Senior Engineer
14335,Mark,Fraisse,1955-09-16,1999-11-06,9999-01-01,Technique Leader
14340,Vitaly,Wixon,1955-01-03,1986-12-19,9999-01-01,Senior Engineer
14344,Otilia,Buescher,1955-02-10,1988-12-16,9999-01-01,Technique Leader
14360,Janche,Erbe,1955-05-25,1997-08-01,9999-01-01,Senior Staff
14456,Feiyu,Rehfuss,1955-01-30,1989-11-20,9999-01-01,Senior Engineer
14457,Erez,Wynblatt,1955-06-24,1997-08-07,9999-01-01,Senior Engineer
14460,Yagil,Lueh,1955-11-28,1988-01-23,9999-01-01,Senior Engineer
14500,Rutger,Malabarba,1955-05-11,1989-07-15,9999-01-01,Senior Engineer
14516,Kristian,Underwood,1955-10-19,1989-04-08,9999-01-01,Senior Staff
14518,Patricia,Peir,1955-06-19,1996-02-18,9999-01-01,Engineer
14522,Chuanyi,Ranta,1955-08-07,1990-01-14,9999-01-01,Senior Staff
14544,Licheng,Janetzko,1955-03-30,1990-04-04,9999-01-01,Staff
14548,Raimond,Ernst,1955-07-12,1994-06-06,9999-01-01,Senior Staff
14572,Jasminko,Remmele,1955-06-22,1994-10-27,9999-01-01,Technique Leader
14581,Gao,Condotta,1955-08-05,1988-06-28,9999-01-01,Senior Engineer
14595,Margareta,Demian,1955-09-02,1993-08-20,9999-01-01,Senior Staff
14623,Gina,Savasere,1955-09-09,1999-04-18,9999-01-01,Engineer
14627,Reinhold,Zastre,1955-05-11,1991-04-12,9999-01-01,Senior Engineer
14632,Gudjon,McClurg,1955-08-02,1987-08-01,9999-01-01,Senior Engineer
14634,Shirish,Lamba,1955-08-04,1998-06-07,9999-01-01,Technique Leader
14642,Florian,Kuhnemann,1955-06-29,1987-06-05,9999-01-01,Engineer
14645,Laurentiu,Glinert,1955-03-06,1987-05-01,9999-01-01,Senior Engineer
14648,IEEE,Lorys,1955-03-28,1986-11-16,9999-01-01,Staff
14654,Moheb,Remmele,1955-07-25,1994-12-18,9999-01-01,Senior Staff
14665,Honesty,Brlek,1955-11-09,1995-05-12,9999-01-01,Senior Staff
14667,Khatoun,Slutz,1955-04-13,1992-11-29,9999-01-01,Engineer
14674,Rosalie,Engelmann,1955-08-10,1997-02-14,9999-01-01,Engineer
14675,Teunis,Angel,1955-08-02,1988-09-25,9999-01-01,Senior Staff
14677,Herbert,Sifakis,1955-11-29,1987-02-12,9999-01-01,Senior Engineer
14681,Jaihie,Suermann,1955-12-14,1999-12-22,9999-01-01,Engineer
14683,Alois,Basart,1955-03-02,1999-10-11,9999-01-01,Engineer
14724,Aron,Lemarechal,1955-12-19,1986-09-10,9999-01-01,Staff
14750,Sadok,Boguraev,1955-05-02,1998-08-17,9999-01-01,Engineer
14785,Zhonghua,Kaiser,1955-04-23,1998-09-24,9999-01-01,Senior Engineer
14802,Almudena,Kamble,1955-07-03,1993-02-13,9999-01-01,Engineer
14814,Odysseas,Nishimukai,1955-09-01,1987-10-27,9999-01-01,Senior Staff
14815,Valeri,Vanwelkenhuysen,1955-04-15,1999-05-07,9999-01-01,Engineer
14817,Gaurav,Masaki,1955-04-13,1993-04-08,9999-01-01,Senior Engineer
14820,Poornachandra,Bratsberg,1955-11-26,1991-09-10,9999-01-01,Senior Staff
14828,Christfried,Kropf,1955-09-27,2000-07-14,9999-01-01,Staff
14877,Arto,Meriste,1955-11-15,1988-06-06,9999-01-01,Engineer
14921,Gill,Khasidashvili,1955-06-18,1991-12-31,9999-01-01,Engineer
14928,Satoru,Mukaidono,1955-06-23,1985-05-17,9999-01-01,Senior Staff
14942,Heon,Benveniste,1955-01-22,1987-11-15,9999-01-01,Engineer
14954,Fox,Magliocco,1955-04-04,1988-08-05,9999-01-01,Senior Engineer
14971,Fan,Simmen,1955-04-07,1991-03-25,9999-01-01,Senior Staff
14983,Hyuckchul,Pouyioutas,1955-06-10,1988-12-26,9999-01-01,Senior Staff
14993,Sanjay,Koblitz,1955-10-29,1988-04-20,9999-01-01,Engineer
15015,Shawna,Marchegay,1955-02-13,1990-08-02,9999-01-01,Technique Leader
15052,Flemming,Kranzdorf,1955-02-03,1993-01-27,9999-01-01,Senior Engineer
15064,Wilmer,Comyn,1955-07-27,1995-05-25,9999-01-01,Staff
15092,Remmert,Bahi,1955-06-22,1986-05-26,9999-01-01,Senior Staff
15114,Pantung,Honglei,1955-08-07,1998-03-09,9999-01-01,Engineer
15124,Adhemar,Percebois,1955-05-06,1999-09-26,9999-01-01,Senior Staff
15129,Reinhard,Baalen,1955-11-27,1995-01-28,9999-01-01,Engineer
15169,Sanjoy,Matteis,1955-10-31,1999-09-10,9999-01-01,Technique Leader
15183,Vasiliy,Whitcomb,1955-04-08,1996-01-31,9999-01-01,Senior Staff
15193,Neelam,Schach,1955-12-07,1989-02-14,9999-01-01,Senior Engineer
15196,Souichi,Duclos,1955-03-12,1992-07-09,9999-01-01,Senior Engineer
15218,Shuky,Conry,1955-05-30,1992-08-10,9999-01-01,Staff
15234,Jouko,Zhiwei,1955-10-18,1987-09-03,9999-01-01,Senior Engineer
15269,Eric,Reghbati,1955-11-01,1986-08-21,9999-01-01,Senior Engineer
15272,Aruna,Choobineh,1955-09-05,1993-03-22,9999-01-01,Senior Engineer
15308,Jackson,Schaft,1955-11-14,1998-09-12,9999-01-01,Engineer
15319,Rafols,Sankaranarayanan,1955-02-26,1989-03-01,9999-01-01,Assistant Engineer
15321,Ishfaq,Gecsel,1955-02-15,1992-05-22,9999-01-01,Senior Engineer
